"","pop","tree","branch","Diameter","Length","LA","Leaf_num","Wet_mass","partially_rehydrated","notes","Al_As","DW_Leaf","DW_stem","LDMC","LMA","LMF","notes2","burned","pop.newcode","leafsize","ml_ms"
"67","CNT","400",1,2.31,4.1,82.063,9,2.563,"no","",19.58151804,1.3652,0.219,0.532657043,0.016635999,0.861759879,"","","CNT",9.11811111111111,6.2337899543379
"68","CNT","400",2,1.96,3.5,74.8,8,1.92,"no","",24.79204676,1.0551,0.2002,0.54953125,0.014105615,0.840516211,"","","CNT",9.35,5.27022977022977
"69","CNT","400",3,1.97,4.1,91.468,9,2.979,"no","",30.00956209,1.625,0.3432,0.545485062,0.017765776,0.825627477,"","","CNT",10.1631111111111,4.73484848484848
"70","CNT","271",1,1.66,2.85,37.419,8,0.979,"no","",17.29015666,0.5471,0.1188,0.558835546,0.014620915,0.821594834,"","","CNT",4.677375,4.60521885521886
"71","CNT","271",2,1.92,5.8,43.405,8,1.207,"no","",14.99202268,0.7057,0.272,0.584672742,0.016258496,0.721796052,"","","CNT",5.425625,2.59448529411765
"72","CNT","271",3,2.15,6.6,105.057,19,2.551,"no","",28.93816592,1.4454,0.3424,0.566601333,0.013758246,0.808479696,"","","CNT",5.52931578947368,4.2213785046729
"73","CNT","273",1,1.75,2.2,47.407,7,1.41,"no","",19.71012158,0.7708,0.1235,0.546666667,0.016259202,0.861903164,"","","CNT",6.77242857142857,6.2412955465587
"74","CNT","273",2,1.47,2.8,58.948,10,1.447,"no","",34.73420256,0.8482,0.1461,0.5861783,0.014388953,0.853062456,"","","CNT",5.8948,5.80561259411362
"75","CNT","273",3,1.95,4.8,55,13,1.518,"no","",18.41689424,0.8661,0.23,0.57055336,0.015747273,0.790165131,"","","CNT",4.23076923076923,3.76565217391304
"76","SMD","172",1,1.7,2.13,34.735,7,1.09,"no","",15.30355708,0.5142,0.0794,0.471743119,0.014803512,0.866239892,"","yes","SMD",4.96214285714286,6.47607052896725
"77","SMD","172",2,1.71,2.63,44.669,8,1.318,"no","",19.45077619,0.6347,0.0896,0.481562974,0.014208959,0.876294353,"","yes","SMD",5.583625,7.08370535714286
"78","SMD","172",3,2.01,3.4,71.141,10,2.12,"no","",22.42078314,1.0079,0.1087,0.475424528,0.014167639,0.902650905,"","yes","SMD",7.1141,9.27230910763569
"79","SMD","3",1,1.56,3.9,29.087,8,0.827,"no","",15.21852848,0.3753,0.1052,0.453808948,0.012902671,0.781061394,"","yes","SMD",3.635875,3.56749049429658
"80","SMD","3",2,1.37,2.9,21.204,6,0.593,"no","",14.38465958,0.2705,0.0652,0.456155143,0.012757027,0.805778969,"","yes","SMD",3.534,4.14877300613497
"81","SMD","3",3,1.39,3.04,33.3,8,0.925,"no","",21.9450998,0.4299,0.0841,0.464756757,0.01290991,0.836381323,"","yes","SMD",4.1625,5.11177170035672
"82","SMD","5",1,1.64,3.7,39.388,10,1.113,"no","",18.64657878,0.5401,0.0989,0.485265049,0.013712298,0.845226917,"","yes","SMD",3.9388,5.46107178968655
"83","SMD","5",2,1.86,4,42.189,9,1.267,"no","",15.52731167,0.5483,0.1556,0.432754538,0.012996279,0.778945873,"","yes","SMD",4.68766666666667,3.52377892030848
"84","SMD","5",3,1.96,3.9,52.166,10,1.578,"no","",17.29013251,0.7476,0.1436,0.473764259,0.014331174,0.838868941,"","yes","SMD",5.2166,5.20612813370474
"85","SMD","4",1,1.67,2.96,58.208,14,1.721,"no","",26.57496262,0.8728,0.1709,0.507147008,0.014994502,0.836255629,"","yes","SMD",4.15771428571429,5.1070801638385
"86","SMD","4",2,2,4.1,27.119,11,0.764,"no","",8.632500398,0.3567,0.1717,0.466884817,0.01315314,0.675056775,"","yes","SMD",2.46536363636364,2.0774606872452
"87","SMD","4",3,1.54,2.15,33.133,9,0.909,"no","",17.78861952,0.4576,0.0876,0.503410341,0.013811004,0.839325018,"","yes","SMD",3.68144444444444,5.22374429223744
"88","SMD","294",1,1.83,4.3,46.711,9,1.318,"no","",17.75987532,0.6369,0.1262,0.48323217,0.013634904,0.834621937,"","yes","SMD",5.19011111111111,5.04675118858954
"89","SMD","294",2,2.58,7,76.717,10,2.165,"no","",14.6748992,0.9884,0.3034,0.456535797,0.012883715,0.765133922,"","yes","SMD",7.6717,3.25774555042848
"90","SMD","294",3,2.1,5.2,72.217,10,2.08,"no","",20.85085082,1.0077,0.155,0.484471154,0.013953778,0.866689602,"","yes","SMD",7.2217,6.50129032258065
"91","BLU","516",1,2.68,4.97,118.9,7,3.459,"no","",21.07828119,1.7818,0.3375,0.515119977,0.014985702,0.840749304,"","","BLU",16.9857142857143,5.27940740740741
"92","BLU","516",2,3.17,7.8,179,11,5.488,"no","",22.68075116,2.85,0.7426,0.519314869,0.015921788,0.793297333,"","","BLU",16.2727272727273,3.8378669539456
"93","BLU","2",1,2.94,10.9,112.85,12,3.149,"no","",16.6237818,1.5749,0.717,0.500127024,0.013955693,0.687159126,"","","BLU",9.40416666666667,2.19651324965132
"94","BLU","2",2,2.45,5.7,70.533,9,1.825,"no","",14.96177484,0.8695,0.2598,0.476438356,0.012327563,0.769945984,"","","BLU",7.837,3.346805234796
"95","BLU","3",1,2.395,7.2,57.729,12,1.812,"no","",12.81462573,0.9026,0.3739,0.49812362,0.015635123,0.707089698,"","","BLU",4.81075,2.41401444236427
"96","BLU","3",2,2.55,7.3,72,9,2.399,"no","",14.09856993,1.179,0.486,0.491454773,0.016375,0.708108108,"","","BLU",8,2.42592592592593
"97","BLU","4",1,2.905,4.5,86.515,7,2.43,"no","",13.0533525,1.2595,0.408,0.518312757,0.014558169,0.755322339,"","","BLU",12.3592857142857,3.08700980392157
"98","BLU","4",2,2.9,2.93,115.89,7,3.391,"no","",17.54578868,1.6728,0.352,0.493305809,0.014434377,0.82615567,"","","BLU",16.5557142857143,4.75227272727273
"99","BLU","518",1,1.82,7.8,90.19,9,1.997,"no","",34.66877834,1.0165,0.2847,0.50901352,0.011270651,0.781201967,"","","BLU",10.0211111111111,3.57042500878117
"100","BLU","518",2,2.89,8.6,101.326,7,2.632,"no","",15.44714205,1.3224,0.5515,0.502431611,0.013050944,0.705694007,"","","BLU",14.4751428571429,2.39782411604714
"101","SJR","372",1,1.835,4.3,50.879,9,1.537,"no","tons of scallop galls",19.239304,0.8385,0.2146,0.545543266,0.016480277,0.796220682,"","","SJR",5.65322222222222,3.90726933830382
